city,year,proptype,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
Acton,2003,R2F,2,0,0.0,,,1402304,701152.0,0,0.0,,0,0.0,,0.0,,2,1402304.0,701152.0,0,0.0,,1402304.0,701152.0,,,,,0.0,100.0,0.0,,,0.0
Acton,2003,RCD,167,23,9067045.0,286018.0,,66307836,303154.0,11,4385660.0,264111.0,2,1452611.0,726305.5,2933049.0,264111.0,156,61922176.0,304856.0,21,7614434.0,286018.0,54307742.0,322278.0,83.9792236610715,16.020776338928506,8.695652173913043,91.30434782608695,6.58682634730539,93.41317365269461,12.296780397381383,33.12183342986004,18.181818181818183,13.461538461538462
Acton,2004,LND,10,3,1557635.0,506022.0,,7874918,588583.5,2,2110834.0,1055417.0,0,0.0,,2110834.0,1055417.0,8,5764084.0,588583.5,3,1557635.0,506022.0,4206449.0,935950.0,100.0,0.0,0.0,100.0,20.0,80.0,27.023114166969116,0.0,0.0,37.5
Acton,2004,R1F,227,19,18523902.0,852247.0,,195214612,809483.0,18,18921262.0,872792.5,8,10671202.0,962506.5,8250060.0,677232.5,209,176293350.0,803548.0,11,7852700.0,608596.0,168440650.0,810776.5,42.39225623197532,57.60774376802469,42.10526315789473,57.89473684210527,7.929515418502203,92.07048458149781,4.454337046746233,56.39794005283581,44.44444444444444,5.263157894736842
Acton,2004,R2F,5,1,1038677.0,1038677.0,,2810894,465692.0,2,1504369.0,752184.5,1,1038677.0,1038677.0,465692.0,465692.0,3,1306525.0,441342.0,0,0.0,,1306525.0,441342.0,0.0,100.0,100.0,0.0,40.0,60.0,0.0,69.04403108545843,50.0,0.0
Acton,2004,RCD,173,32,23014637.0,319593.0,,84184379,369814.0,13,15752119.0,455039.0,4,10759624.0,540264.0,4992495.0,455039.0,160,68432260.0,366770.5,28,12255013.0,285351.0,56177247.0,372858.0,53.248778158004406,46.751221841995594,12.5,87.5,7.514450867052023,92.48554913294798,17.90823947652759,68.30588316403653,30.76923076923077,17.5
Acton,2005,LND,7,1,385166.0,385166.0,,7393212,1222160.0,1,385166.0,385166.0,1,385166.0,385166.0,0.0,,6,7008046.0,1289282.5,0,0.0,,7008046.0,1289282.5,0.0,100.0,100.0,0.0,14.285714285714285,85.71428571428571,0.0,100.0,100.0,0.0
Acton,2005,R1F,192,19,11093953.0,609599.0,,159920985,785145.0,17,13005707.0,740703.0,8,5381651.0,636856.0,7624056.0,799959.0,175,146915278.0,792552.0,11,5712302.0,599969.0,141202976.0,801366.5,51.49023075904504,48.50976924095496,42.10526315789473,57.89473684210527,8.854166666666668,91.14583333333334,3.8881606309181813,41.37914993779269,47.05882352941176,6.2857142857142865
Acton,2005,R2F,6,2,866623.0,433311.5,,3587077,670336.5,2,903658.0,451829.0,1,214804.0,214804.0,688854.0,688854.0,4,2683419.0,718482.0,1,651819.0,651819.0,2031600.0,785145.0,75.21367422743222,24.78632577256777,50.0,50.0,33.33333333333333,66.66666666666666,24.290615815122425,23.77049724563939,50.0,25.0
Acton,2005,R3F,1,0,0.0,,,1028096,1028096.0,0,0.0,,0,0.0,,0.0,,1,1028096.0,1028096.0,0,0.0,,1028096.0,1028096.0,,,,,0.0,100.0,0.0,,,0.0
Acton,2005,RCD,187,33,16307597.0,437015.0,,97042208,404424.0,20,9845688.0,301466.0,8,4517035.0,726555.5,5328653.0,269616.0,167,87196520.0,407387.0,25,11790562.0,410349.0,75405958.0,403609.0,72.30103858956043,27.698961410439566,24.242424242424242,75.75757575757575,10.695187165775401,89.3048128342246,13.52182632976637,45.87830733616584,40.0,14.97005988023952
Acton,2006,LND,3,0,0.0,,,4442749,1357382.0,0,0.0,,0,0.0,,0.0,,3,4442749.0,1357382.0,0,0.0,,4442749.0,1357382.0,,,,,0.0,100.0,0.0,,,0.0
Acton,2006,R1F,184,27,21189898.0,784585.0,,143667351,736622.5,29,22012265.0,695818.0,15,12980374.0,841854.0,9031891.0,544055.0,155,121655086.0,737338.0,12,8209524.0,618147.0,113445562.0,744497.0,38.74263104050807,61.25736895949192,55.55555555555556,44.44444444444444,15.760869565217392,84.23913043478261,6.74819628996029,58.968824880129326,51.724137931034484,7.741935483870968
Acton,2006,R2F,2,0,0.0,,,1229852,614926.0,0,0.0,,0,0.0,,0.0,,2,1229852.0,614926.0,0,0.0,,1229852.0,614926.0,,,,,0.0,100.0,0.0,,,0.0
Acton,2006,RCD,141,27,14925073.0,529738.0,,67303791,397607.0,13,7839765.0,267017.0,6,4587603.0,929368.0,3252162.0,231939.0,128,59464026.0,398171.0,21,10337470.0,529452.0,49126556.0,393724.0,69.26244179844213,30.737558201557874,22.22222222222222,77.77777777777779,9.219858156028367,90.78014184397163,17.384409861518627,58.517098407924216,46.15384615384615,16.40625
Acton,2007,LND,20,1,1362726.0,1362726.0,,25083396,1302801.0,0,0.0,,0,0.0,,0.0,,20,25083396.0,1302801.0,1,1362726.0,1362726.0,23720670.0,1295741.0,100.0,0.0,0.0,100.0,0.0,100.0,5.432781111457157,,,5.0
Acton,2007,R1F,169,19,11313827.0,609658.0,,129337157,716912.0,21,16125163.0,738081.0,7,4147648.0,609658.0,11977515.0,739492.0,148,113211994.0,711267.0,12,7166179.0,617024.0,106045815.0,730319.0,63.34000864605761,36.659991353942395,36.84210526315789,63.1578947368421,12.42603550295858,87.57396449704143,6.329876143688451,25.72158805464478,33.33333333333333,8.108108108108109
