decade,proptype,city,flip_num,investor_flip_num,non_investor_flip_num,buy_num,cash_buy_num,cash_total,cash_median,non_cash_median,non_cash_total,total_price,median_price,cash_total_adj,non_cash_total_adj,cash_median_adj,non_cash_median_adj,total_price_adj,median_price_adj,investor_sell_num,investor_sell_total_price,investor_sell_median_price,investor_sell_total_price_adj,investor_sell_median_price_adj,non_investor_sell_num,non_investor_sell_total_price,non_investor_sell_median_price,non_investor_sell_total_price_adj,non_investor_sell_median_price_adj,investor_buy_num,investor_total_price,investor_median_price,investor_total_price_adj,investor_median_price_adj,investor_cash_buy_num,investor_cash_total_adj,investor_cash_median_adj,investor_non_cash_total_adj,investor_non_cash_median_adj,investor_cash_total,investor_cash_median,investor_non_cash_total,investor_non_cash_median,non_investor_buy_num,non_investor_total_price,non_investor_median_price,non_investor_total_price_adj,non_investor_median_price_adj,non_investor_cash_buy_num,non_investor_cash_total_adj,non_investor_cash_median_adj,non_investor_non_cash_total_adj,non_investor_non_cash_median_adj,non_investor_cash_total,non_investor_cash_median,non_investor_non_cash_total,non_investor_non_cash_median,p_total_cash_is_non_investor_adj,p_total_cash_is_investor_adj,p_cash_buy_is_investor,p_cash_buy_is_non_investor,p_buy_is_investor,p_buy_is_non_investor,p_sell_is_investor,p_sell_is_non_investor,p_flip,p_flip_is_investor,p_flip_is_non_investor,p_investor_sell_flip,p_non_investor_sell_flip,p_non_investor_total_is_cash_adj,p_non_investor_total_is_cash,p_investor_total_is_cash_adj,p_investor_total_is_cash,p_investor_is_cash_buy,p_non_investor_is_cash_buy
2010-2019,LND,Norwell,10,8,2,49,21,5649500.0,250000.0,766000.0,18506010.0,24155510,275000.0,7339809.0,23505201.0,302169.0,979299.0,30845010,363908.0,27,13822900.0,295000.0,17589299.0,404045.0,22,10332610.0,270000.0,13255711.0,357503.0,14,4481900.0,250000.0,5824024.0,290223.0,8,2246634.0,290223.0,3577390.0,327578.5,1802000.0,250000.0,2679900.0,253750.0,35,19673610.0,312500.0,25020986.0,443032.0,13,5093175.0,350938.0,19927811.0,1055962.0,3847500.0,260000.0,15826110.0,811000.0,69.39111085860681,30.608889141393185,38.095238095238095,61.904761904761905,28.57142857142857,71.42857142857143,55.10204081632652,44.89795918367347,20.408163265306122,80.0,20.0,29.629629629629626,9.090909090909092,20.355612684488133,19.55665482847327,38.575287464474734,40.2061625649836,57.14285714285714,37.142857142857146
2010-2019,LND,Norwood,9,9,0,30,10,5599975.0,593750.0,554950.0,10220205.0,15820180,554950.0,7160828.0,13672634.0,744728.0,755623.5,20833462,755623.5,19,11850930.0,672500.0,15741584.0,889274.0,11,3969250.0,285000.0,5091878.0,372535.0,10,4348225.0,400000.0,5598347.0,469550.5,5,2784094.0,594628.0,2814253.0,344473.0,2271975.0,515000.0,2076250.0,285000.0,20,11471955.0,593450.0,15235115.0,834380.0,5,4376734.0,938243.0,10858381.0,807948.0,3328000.0,672500.0,8143955.0,569900.0,61.12050170734445,38.87949829265554,50.0,50.0,33.33333333333333,66.66666666666666,63.33333333333333,36.666666666666664,30.0,100.0,0.0,47.368421052631575,0.0,28.727935430746665,29.009876694948684,49.73064370607967,52.25063100460533,50.0,25.0
2010-2019,LND,Peabody,4,3,1,41,13,3557956.0,188223.0,463750.0,14145848.0,17703804,445000.0,4658897.0,18354635.0,230167.0,599910.0,23013532,570265.0,24,11144356.0,482450.0,14695478.0,610736.0,17,6559448.0,200000.0,8318054.0,255741.0,11,3870133.0,292133.0,4979796.0,377934.0,4,1544596.0,266324.0,3435200.0,510373.0,1189133.0,218066.5,2681000.0,360000.0,30,13833671.0,461200.0,18033736.0,599394.0,9,3114301.0,230167.0,14919435.0,604744.0,2368823.0,188223.0,11464848.0,465000.0,66.84631576959096,33.15368423040904,30.76923076923077,69.23076923076923,26.82926829268293,73.17073170731707,58.536585365853654,41.46341463414634,9.75609756097561,75.0,25.0,12.5,5.88235294117647,17.269305705706238,17.123603705769785,31.01725452207279,30.72589494986348,36.36363636363637,30.0
2010-2019,LND,Pembroke,25,18,7,90,31,5466094.0,135000.0,499000.0,26248920.0,31715014,257500.0,7006557.0,33590495.0,185387.0,615056.0,40597052,333119.5,61,25135929.0,454500.0,32070862.0,531780.0,29,6579085.0,159500.0,8526190.0,205738.0,25,4917002.0,150000.0,6221653.0,186083.0,12,1689818.0,134972.5,4531835.0,205985.0,1227002.0,96000.0,3690000.0,166000.0,65,26798012.0,454500.0,34375399.0,539282.0,19,5316739.0,226123.0,29058660.0,685931.5,4239092.0,159500.0,22558920.0,511180.5,75.8823342192178,24.1176657807822,38.70967741935484,61.29032258064516,27.77777777777778,72.22222222222221,67.77777777777779,32.22222222222222,27.77777777777778,72.0,28.000000000000004,29.508196721311474,24.137931034482758,15.466697564732268,15.818680878268134,27.16027396577726,24.954270915488745,48.0,29.230769230769234
2010-2019,LND,Quincy,14,11,3,68,32,10028238.0,322500.0,408000.0,16367200.0,26395438,350000.0,12769027.0,21051843.0,389570.5,543758.0,33820870,459193.5,32,12994138.0,408000.0,17039904.0,543758.0,36,13401300.0,320000.0,16780966.0,396398.0,20,5480950.0,278000.0,7069663.0,366726.0,9,2751352.0,196285.0,4318311.0,378087.0,2164950.0,170000.0,3316000.0,285000.0,48,20914488.0,390500.0,26751207.0,534855.0,23,10017675.0,396398.0,16733532.0,683487.0,7863288.0,335000.0,13051200.0,489900.0,78.45292362526918,21.54707637473082,28.125,71.875,29.411764705882355,70.58823529411765,47.05882352941176,52.94117647058824,20.588235294117645,78.57142857142857,21.428571428571427,34.375,8.333333333333332,37.44756264642564,37.59732487833315,38.91772493257458,39.49953931344019,45.0,47.91666666666667
2010-2019,LND,Randolph,11,7,4,60,14,9117616.0,100000.0,424000.0,18934400.0,28052016,404000.0,12091165.0,24392849.0,138373.0,548277.5,36484014,541598.0,30,16852466.0,372750.0,22042548.0,496101.0,30,11199550.0,423000.0,14441466.0,557157.0,20,11378116.0,167500.0,15043206.0,193398.0,12,11898647.0,148381.0,3144559.0,523216.0,8972616.0,109250.0,2405500.0,385250.0,40,16673900.0,424000.0,21440808.0,547577.0,2,192518.0,96259.0,21248290.0,548882.0,145000.0,72500.0,16528900.0,429000.0,1.592220435334395,98.4077795646656,85.71428571428571,14.285714285714285,33.33333333333333,66.66666666666666,50.0,50.0,18.333333333333332,63.63636363636363,36.36363636363637,23.333333333333332,13.333333333333334,0.8979045938940361,0.8696225837986314,79.09648382133436,78.85853861922307,60.0,5.0
2010-2019,LND,Reading,11,8,3,27,10,3423121.0,333000.0,539900.0,10838186.0,14261307,450000.0,4581590.0,13681202.0,436858.0,721952.0,18262792,611831.0,11,6965507.0,525000.0,8901171.0,708626.0,16,7295800.0,450000.0,9361621.0,561103.0,12,4293021.0,333000.0,5594514.0,453637.5,6,2670251.0,415873.5,2924263.0,524301.0,1968121.0,305500.0,2324900.0,402500.0,15,9968286.0,579000.0,12668278.0,767336.0,4,1911339.0,554280.0,10756939.0,955682.0,1455000.0,440000.0,8513286.0,685000.0,41.71780975600174,58.282190243998265,60.0,40.0,44.44444444444444,55.55555555555556,40.74074074074074,59.25925925925925,40.74074074074074,72.72727272727273,27.27272727272727,72.72727272727273,18.75,15.087599119627782,14.596290676250662,47.729811740573,45.84466276778054,50.0,26.666666666666668
2010-2019,LND,Revere,7,6,1,46,20,7709350.0,123500.0,497500.0,14247400.0,21956750,320000.0,9004519.0,17449378.0,153816.0,643619.0,26453897,398392.5,27,16015900.0,475000.0,19278420.0,592275.0,19,5940850.0,135000.0,7175477.0,163171.0,16,8304350.0,170250.0,9468876.0,200222.5,10,6045978.0,147168.5,3422898.0,305468.0,5274350.0,118575.0,3030000.0,272500.0,30,13652400.0,477500.0,16985021.0,581905.0,10,2958541.0,163924.0,14026480.0,704768.0,2435000.0,125000.0,11217400.0,553500.0,32.85618032456814,67.14381967543186,50.0,50.0,34.78260869565217,65.21739130434783,58.69565217391305,41.30434782608695,15.217391304347828,85.71428571428571,14.285714285714285,22.22222222222222,5.263157894736842,17.4185301272221,17.8356918930005,63.851063209614324,63.51309855678048,62.5,33.33333333333333
2010-2019,LND,Rockland,8,5,3,34,10,1403183.0,121250.0,383700.0,8083341.0,9486524,220375.0,1767137.0,10108500.0,148749.5,443892.5,11875637,274091.5,16,3945845.0,174950.0,4842649.0,213603.0,18,5540679.0,288875.0,7032988.0,341232.5,10,1870895.0,117250.0,2345878.0,152345.0,5,1110292.0,143393.0,1235586.0,161297.0,892283.0,115000.0,978612.0,119500.0,24,7615629.0,363450.0,9529759.0,424551.0,5,656845.0,154106.0,8872914.0,492112.0,510900.0,127500.0,7104729.0,399000.0,37.170010021860215,62.82998997813978,50.0,50.0,29.411764705882355,70.58823529411765,47.05882352941176,52.94117647058824,23.52941176470588,62.5,37.5,31.25,16.666666666666664,6.892566748015348,6.7085725945946155,47.32948601760194,47.69284219584744,50.0,20.833333333333336
2010-2019,LND,Rockport,6,4,2,24,10,4082774.0,263500.0,429000.0,6347000.0,10429774,285000.0,5470097.0,8406492.0,367806.0,604249.0,13876589,390649.5,11,6019000.0,529000.0,7859976.0,720193.0,13,4410774.0,259000.0,6016613.0,315844.0,6,1959000.0,227000.0,2664163.0,311724.5,2,623449.0,311724.5,2040714.0,518221.0,454000.0,227000.0,1505000.0,382500.0,18,8470774.0,320000.0,11212426.0,439868.0,8,4846648.0,384906.0,6365778.0,604249.0,3628774.0,271500.0,4842000.0,429000.0,88.60259699233852,11.397403007661474,20.0,80.0,25.0,75.0,45.83333333333333,54.166666666666664,25.0,66.66666666666666,33.33333333333333,36.36363636363637,15.384615384615385,43.225685502851924,42.83875357789029,23.40130840342727,23.175089331291478,33.33333333333333,44.44444444444444
